pasta,cod,descr,qtdCx,venda
3,410,Produto BU,24,100
3,411,Produto BV,12,150
3,412,Produto BW,48,111
3,413,Produto BX,12,223
3,414,Produto BY,6,333
3,415,Produto BZ,24,665
3,416,Produto CA,12,540
3,417,Produto CB,48,200
3,418,Produto CC,12,250
3,419,Produto CD,6,35
3,420,Produto CE,24,65
3,421,Produto CF,12,88
3,422,Produto CG,48,99
3,423,Produto CH,12,105
3,424,Produto CI,6,150
3,425,Produto CJ,24,250
3,426,Produto CK,12,42
3,427,Produto CL,48,56
3,428,Produto CM,12,99
3,429,Produto CN,6,88
3,430,Produto CO,24,77
3,431,Produto CP,12,60
3,432,Produto CQ,48,320
3,433,Produto CR,12,15
3,434,Produto CS,6,48
4,435,Produto CT,24,99
4,436,Produto CU,12,650
4,437,Produto CV,48,72
4,438,Produto CH,12,50
4,439,Produto CI,6,10
4,440,Produto CJ,24,8
4,441,Produto CK,12,9
4,442,Produto CL,48,12
4,443,Produto CM,12,24
4,444,Produto CN,6,36
4,445,Produto CO,24,48
4,446,Produto CP,12,99
4,447,Produto CQ,48,50
4,448,Produto CR,12,100
4,449,Produto CS,6,150
4,450,Produto CT,24,111
4,451,Produto CU,12,223
4,452,Produto CV,48,333
4,453,Produto AH,12,665
4,454,Produto AI,48,540
4,455,Produto AJ,12,200
4,456,Produto AK,6,250
4,457,Produto AL,24,35
4,458,Produto AM,12,65
4,459,Produto AN,48,88
4,460,Produto AO,12,99
4,461,Produto AP,6,105
4,462,Produto AQ,24,150
4,463,Produto AR,12,250
4,464,Produto AS,48,42
4,465,Produto AT,12,56
4,466,Produto AU,6,99
4,467,Produto AV,24,88
4,468,Produto AW,12,77
4,469,Produto AX,48,60
4,470,Produto AY,12,320
4,471,Produto AZ,6,15
4,472,Produto BA,24,48
1,473,Produto BB,12,99
1,474,Produto BC,48,650
1,475,Produto A,12,72
1,476,Produto B,24,50
1,477,Produto C,6,10
1,478,Produto D,48,8
1,479,Produto E,12,9
1,480,Produto F,24,12
1,481,Produto G,6,24
1,482,Produto H,12,36
1,483,Produto I,24,48
1,484,Produto J,48,99
1,485,Produto K,12,50
1,486,Produto L,6,100
1,487,Produto M,24,150
1,488,Produto N,12,111
1,489,Produto O,48,223
1,490,Produto P,12,333
1,491,Produto Q,6,665
1,492,Produto R,24,540
2,493,Produto S,12,200
2,494,Produto T,48,250
2,495,Produto U,12,35
2,496,Produto V,6,65
2,497,Produto W,24,88
2,498,Produto X,12,99
2,499,Produto Y,48,105
2,500,Produto Z,12,150
2,501,Produto AA,6,250
2,502,Produto AB,24,42
2,503,Produto AC,12,56
2,504,Produto AD,48,99
2,505,Produto AE,12,88
2,506,Produto AF,6,77
2,507,Produto AG,24,60
2,508,Produto AH,12,320
2,509,Produto AI,48,15
2,510,Produto AJ,12,48
2,511,Produto AK,6,99
2,512,Produto AL,24,650
2,513,Produto AM,12,72
2,514,Produto AN,48,50
2,515,Produto AO,12,10
3,516,Produto AP,6,8
3,517,Produto AQ,24,9
3,518,Produto AR,12,12
3,519,Produto AS,48,24
3,520,Produto AT,12,36
3,521,Produto AU,6,48
3,522,Produto AV,24,99
3,523,Produto AW,12,50
3,524,Produto AX,48,100
3,525,Produto AY,12,150
3,526,Produto AZ,6,111
3,527,Produto BA,24,223
3,528,Produto BB,12,333
3,529,Produto BC,48,665
3,530,Produto BD,12,540
3,531,Produto BE,6,200
3,532,Produto BF,24,250
3,533,Produto BG,12,35
3,534,Produto BH,48,65
3,535,Produto BI,12,88
3,536,Produto BJ,6,99
3,537,Produto BK,24,105
3,538,Produto BL,12,150
3,539,Produto BM,48,250
3,540,Produto BN,12,42
3,541,Produto BO,6,56
3,542,Produto BP,24,99
3,543,Produto BQ,12,88
3,544,Produto BR,48,77
3,545,Produto BS,12,60
3,546,Produto BT,6,320
3,547,Produto BU,24,15
3,548,Produto BV,12,48
3,549,Produto BW,48,99
3,550,Produto BX,12,650
3,551,Produto BY,6,72
3,552,Produto BZ,24,50
4,553,Produto CA,12,10
4,554,Produto CB,48,8
4,555,Produto CC,12,9
4,556,Produto CD,6,12
4,557,Produto CE,24,24
4,558,Produto CF,12,36
4,559,Produto CG,48,48
4,560,Produto CH,12,99
4,561,Produto CI,6,50
4,562,Produto CJ,24,100
4,563,Produto CK,12,150
4,564,Produto CL,48,111
4,565,Produto CM,12,223
4,566,Produto CN,6,333
4,567,Produto CO,24,665
4,568,Produto CP,12,540
4,569,Produto CQ,48,200
4,570,Produto CR,12,250
4,571,Produto CS,6,35
4,572,Produto CT,24,65
4,573,Produto CU,12,88
4,574,Produto CV,48,99
4,575,Produto A,12,105
4,576,Produto B,24,150
4,577,Produto C,6,250
4,578,Produto D,48,42
4,579,Produto E,12,56
4,580,Produto F,24,99
4,581,Produto G,6,88
4,582,Produto H,12,77
4,583,Produto I,24,60
4,584,Produto J,48,320
4,585,Produto K,12,15
4,586,Produto L,6,48
4,587,Produto M,24,99
4,588,Produto N,12,650
4,589,Produto O,48,72
4,590,Produto P,12,50
1,591,Produto Q,6,10
1,592,Produto R,24,8
1,593,Produto S,12,9
1,594,Produto T,48,12
1,595,Produto U,12,24
1,596,Produto V,6,36
1,597,Produto W,24,48
1,598,Produto X,12,99
1,599,Produto Y,48,50
1,600,Produto Z,12,100
1,601,Produto AA,6,150
1,602,Produto AB,24,111
1,603,Produto AC,12,223
1,604,Produto AD,48,333
1,605,Produto AE,12,665
1,606,Produto AF,6,540
1,607,Produto AG,24,200
1,608,Produto AH,12,250
1,609,Produto AI,48,35
1,610,Produto AJ,12,65
2,611,Produto AK,6,88
2,612,Produto AL,24,99
2,613,Produto AM,12,105
2,614,Produto AN,48,150
2,615,Produto AO,12,250
2,616,Produto AP,6,42
2,617,Produto AQ,24,56
2,618,Produto AR,12,99
2,619,Produto AS,48,88
2,620,Produto AT,12,77
2,621,Produto AU,6,60
2,622,Produto AV,24,320
2,623,Produto AW,12,15
2,624,Produto AX,48,48
2,625,Produto AY,12,99
2,626,Produto AZ,6,650
2,627,Produto BA,24,72
2,628,Produto BB,12,50
2,629,Produto BC,48,10
2,630,Produto BD,12,8
2,631,Produto BE,6,9
2,632,Produto BF,24,12
2,633,Produto BG,12,24
3,634,Produto BH,48,36
3,635,Produto BI,12,48
3,636,Produto BJ,6,99
3,637,Produto BK,24,50
3,638,Produto BL,12,100
3,639,Produto BM,48,150
3,640,Produto BN,12,111
3,641,Produto BO,6,223
3,642,Produto BP,24,333
3,643,Produto BQ,12,665
3,644,Produto BR,48,540
3,645,Produto BS,12,200
3,646,Produto BT,6,250
3,647,Produto BU,24,35
3,648,Produto BV,12,65
3,649,Produto BW,48,88
3,650,Produto BX,12,99
3,651,Produto BY,6,105
3,652,Produto BZ,24,150
3,653,Produto CA,12,250
3,654,Produto CB,48,42
3,655,Produto CC,12,56
3,656,Produto CD,6,99
3,657,Produto CE,24,88
3,658,Produto CF,12,77
3,659,Produto CG,48,60
3,660,Produto CH,12,320
3,661,Produto CI,6,15
3,662,Produto CJ,24,48
3,663,Produto CK,12,99
3,664,Produto CL,48,650
3,665,Produto CM,12,72
3,666,Produto CN,6,50
3,667,Produto CO,24,10
3,668,Produto CP,12,8
3,669,Produto CQ,48,9
3,670,Produto CR,12,12
4,671,Produto CS,6,24
4,672,Produto CT,24,36
4,673,Produto CU,12,48
4,674,Produto CV,48,99
4,675,Produto CH,12,50
4,676,Produto CI,6,100
4,677,Produto CJ,24,150
4,678,Produto CK,12,111
4,679,Produto CL,48,223
4,680,Produto CM,12,333
4,681,Produto CN,6,665
4,682,Produto CO,24,540
4,683,Produto CP,12,200
4,684,Produto CQ,48,250
4,685,Produto CR,12,35
4,686,Produto CS,6,65
4,687,Produto CT,24,88
4,688,Produto CU,12,99
4,689,Produto CV,48,105
4,690,Produto AH,12,150
4,691,Produto AI,48,250
4,692,Produto AJ,12,42
4,693,Produto AK,6,56
4,694,Produto AL,24,99
4,695,Produto AM,12,88
4,696,Produto AN,48,77
4,697,Produto AO,12,60
4,698,Produto AP,6,320
4,699,Produto AQ,24,15
4,700,Produto AR,12,48
4,701,Produto AS,48,99
4,702,Produto AT,12,650
4,703,Produto AU,6,72
4,704,Produto AV,24,50
4,705,Produto AW,12,10
4,706,Produto AX,48,8
4,707,Produto AY,12,9
4,708,Produto AZ,6,12
1,709,Produto BA,24,24
1,710,Produto BB,12,36
1,711,Produto BC,48,48
1,712,Produto A,12,99
1,713,Produto B,24,50
1,714,Produto C,6,100
1,715,Produto D,48,150
1,716,Produto E,12,111
1,717,Produto F,24,223
1,718,Produto G,6,333
1,719,Produto H,12,665
1,720,Produto I,24,540
1,721,Produto J,48,200
1,722,Produto K,12,250
1,723,Produto L,6,35
1,724,Produto M,24,65
1,725,Produto N,12,88
1,726,Produto O,48,99
1,727,Produto P,12,105
1,728,Produto Q,6,150
2,729,Produto R,24,250
2,730,Produto S,12,42
2,731,Produto T,48,56
2,732,Produto U,12,99
2,733,Produto V,6,88
2,734,Produto W,24,77
2,735,Produto X,12,60
2,736,Produto Y,48,320
2,737,Produto Z,12,15
2,738,Produto AA,6,48
2,739,Produto AB,24,99
2,740,Produto AC,12,650
2,741,Produto AD,48,72
2,742,Produto AE,12,50
2,743,Produto AF,6,10
2,744,Produto AG,24,8
2,745,Produto AH,12,9
2,746,Produto AI,48,12
2,747,Produto AJ,12,24
2,748,Produto AK,6,36
2,749,Produto AL,24,48
2,750,Produto AM,12,99
2,751,Produto AN,48,50
3,752,Produto AO,12,100
3,753,Produto AP,6,150
3,754,Produto AQ,24,111
3,755,Produto AR,12,223
3,756,Produto AS,48,333
3,757,Produto AT,12,665
3,758,Produto AU,6,540
3,759,Produto AV,24,200
3,760,Produto AW,12,250
3,761,Produto AX,48,35
3,762,Produto AY,12,65
3,763,Produto AZ,6,88
3,764,Produto BA,24,99
3,765,Produto BB,12,105
3,766,Produto BC,48,150
3,767,Produto BD,12,250
3,768,Produto BE,6,42
3,769,Produto BF,24,56
3,770,Produto BG,12,99
3,771,Produto BH,48,88
3,772,Produto BI,12,77
3,773,Produto BJ,6,60
3,774,Produto BK,24,320
3,775,Produto BL,12,15
3,776,Produto BM,48,48
3,777,Produto BN,12,99
3,778,Produto BO,6,650
3,779,Produto BP,24,72
3,780,Produto BQ,12,50
3,781,Produto BR,48,10
3,782,Produto BS,12,8
3,783,Produto BT,6,9
3,784,Produto BU,24,12
3,785,Produto BV,12,24
3,786,Produto BW,48,36
3,787,Produto BX,12,48
3,788,Produto BY,6,99
4,789,Produto BZ,24,50
4,790,Produto CA,12,100
4,791,Produto CB,48,150
4,792,Produto CC,12,111
4,793,Produto CD,6,223
4,794,Produto CE,24,333
4,795,Produto CF,12,665
4,796,Produto CG,48,540
4,797,Produto CH,12,200
4,798,Produto CI,6,250
4,799,Produto CJ,24,35
4,800,Produto CK,12,65
4,801,Produto CL,48,88
4,802,Produto CM,12,99
4,803,Produto CN,6,105
4,804,Produto CO,24,150
4,805,Produto CP,12,250
4,806,Produto CQ,48,42
4,807,Produto CR,12,56
4,808,Produto CS,6,99
4,809,Produto CT,24,88
4,810,Produto CU,12,77
4,811,Produto CV,48,60
4,812,Produto A,12,320
4,813,Produto B,24,15
4,814,Produto C,6,48
4,815,Produto D,48,99
4,816,Produto E,12,650
4,817,Produto F,24,72
4,818,Produto G,6,50
4,819,Produto H,12,10
4,820,Produto I,24,8
4,821,Produto J,48,9
4,822,Produto K,12,12
4,823,Produto L,6,24
4,824,Produto M,24,36
4,825,Produto N,12,48
4,826,Produto O,48,99
1,827,Produto P,12,50
1,828,Produto Q,6,100
1,829,Produto R,24,150
1,830,Produto S,12,111
1,831,Produto T,48,223
1,832,Produto U,12,333
1,833,Produto V,6,665
1,834,Produto W,24,540
1,835,Produto X,12,200
1,836,Produto Y,48,250
1,837,Produto Z,12,35
1,838,Produto AA,6,65
1,839,Produto AB,24,88
1,840,Produto AC,12,99
1,841,Produto AD,48,105
1,842,Produto AE,12,150
1,843,Produto AF,6,250
1,844,Produto AG,24,42
1,845,Produto AH,12,56
1,846,Produto AI,48,99
2,847,Produto AJ,12,88
2,848,Produto AK,6,77
2,849,Produto AL,24,60
2,850,Produto AM,12,320
2,851,Produto AN,48,15
2,852,Produto AO,12,48
2,853,Produto AP,6,99
2,854,Produto AQ,24,650
2,855,Produto AR,12,72
2,856,Produto AS,48,50
2,857,Produto AT,12,10
2,858,Produto AU,6,8
2,859,Produto AV,24,9
2,860,Produto AW,12,12
2,861,Produto AX,48,24
2,862,Produto AY,12,36
2,863,Produto AZ,6,48
2,864,Produto BA,24,99
2,865,Produto BB,12,50
2,866,Produto BC,48,100
2,867,Produto BD,12,150
2,868,Produto BE,6,111
2,869,Produto BF,24,223
3,870,Produto BG,12,333
3,871,Produto BH,48,665
3,872,Produto BI,12,540
3,873,Produto BJ,6,200
3,874,Produto BK,24,250
3,875,Produto BL,12,35
3,876,Produto BM,48,65
3,877,Produto BN,12,88
3,878,Produto BO,6,99
3,879,Produto BP,24,105
3,880,Produto BQ,12,150
3,881,Produto BR,48,250
3,882,Produto BS,12,42
3,883,Produto BT,6,56
3,884,Produto BU,24,99
3,885,Produto BV,12,88
3,886,Produto BW,48,77
3,887,Produto BX,12,60
3,888,Produto BY,6,320
3,889,Produto BZ,24,15
3,890,Produto CA,12,48
3,891,Produto CB,48,99
3,892,Produto CC,12,650
3,893,Produto CD,6,72
3,894,Produto CE,24,50
3,895,Produto CF,12,10
3,896,Produto CG,48,8
3,897,Produto CH,12,9
3,898,Produto CI,6,12
3,899,Produto CJ,24,24
3,900,Produto CK,12,36
3,901,Produto CL,48,48
3,902,Produto CM,12,99
3,903,Produto CN,6,50
3,904,Produto CO,24,100
3,905,Produto CP,12,150
3,906,Produto CQ,48,111
4,907,Produto CR,12,223
4,908,Produto CS,6,333
4,909,Produto CT,24,665
4,910,Produto CU,12,540
4,911,Produto CV,48,200
4,912,Produto CH,12,250
4,913,Produto CI,6,35
4,914,Produto CJ,24,65
4,915,Produto CK,12,88
4,916,Produto CL,48,99
4,917,Produto CM,12,105
4,918,Produto CN,6,150
4,919,Produto CO,24,250
4,920,Produto CP,12,42
4,921,Produto CQ,48,56
4,922,Produto CR,12,99
4,923,Produto CS,6,88
4,924,Produto CT,24,77
4,925,Produto CU,12,60
4,926,Produto CV,48,320
4,927,Produto AH,12,15
4,928,Produto AI,48,48
4,929,Produto AJ,12,99
4,930,Produto AK,6,650
4,931,Produto AL,24,72
4,932,Produto AM,12,50
4,933,Produto AN,48,10
4,934,Produto AO,12,8
4,935,Produto AP,6,9
4,936,Produto AQ,24,12
4,937,Produto AR,12,24
4,938,Produto AS,48,36
4,939,Produto AT,12,48
4,940,Produto AU,6,99
4,941,Produto AV,24,50
4,942,Produto AW,12,100
4,943,Produto AX,48,150
4,944,Produto AY,12,111
1,945,Produto AZ,6,223
1,946,Produto BA,24,333
1,947,Produto BB,12,665
1,948,Produto BC,48,540
1,949,Produto D,48,200
1,950,Produto E,12,250
1,951,Produto F,24,35
1,952,Produto G,6,65
1,953,Produto H,12,88
1,954,Produto I,24,99
1,955,Produto J,48,105
1,956,Produto K,12,150
1,957,Produto L,6,250
1,958,Produto M,24,42
1,959,Produto N,12,56
1,960,Produto O,48,99
1,961,Produto P,12,88
1,962,Produto Q,6,77
1,963,Produto R,24,60
1,964,Produto S,12,320
2,965,Produto T,48,15
2,966,Produto U,12,48
2,967,Produto V,6,99
2,968,Produto W,24,650
2,969,Produto X,12,72
2,970,Produto Y,48,50
2,971,Produto Z,12,10
2,972,Produto AA,6,8
2,973,Produto AB,24,9
2,974,Produto AC,12,12
2,975,Produto AD,48,24
2,976,Produto AE,12,36
2,977,Produto AF,6,48
2,978,Produto AG,24,99
2,979,Produto AH,12,50
2,980,Produto AI,48,100
2,981,Produto AJ,12,150
2,982,Produto AK,6,111
2,983,Produto AL,24,223
2,984,Produto AM,12,333
2,985,Produto AN,48,665
2,986,Produto AO,12,540
2,987,Produto AP,6,200
3,988,Produto AQ,24,250
3,989,Produto AR,12,35
3,990,Produto AS,48,65
3,991,Produto AT,12,88
3,992,Produto AU,6,99
3,993,Produto AV,24,105
3,994,Produto AW,12,150
3,995,Produto AX,48,250
3,996,Produto D,48,42
3,997,Produto E,12,56
3,998,Produto F,24,99
3,999,Produto G,6,88
3,1000,Produto H,12,77
3,1001,Produto I,24,60
3,1002,Produto J,48,320
3,1003,Produto K,12,15
3,1004,Produto L,6,48
3,1005,Produto M,24,99
3,1006,Produto N,12,650
